,s-Polarized Features,,,,,P-Polarized Features,,,,,
Index,"1-CON
13- CLS
14-CLP
16-MAP","7-SEN
9-ENT
10-DEN","s3-COR
6-SAV
17-MEA","2-CON
5-IDM
11-DVA
12-DIS","4-VAR
8-SVA","21-ASM
33-CLS
34-CLP
36-MAP","27-SEN
29-ENT
30-DEN","23-COR
26-SAV
37-MEA","22-CON
25-IDM
31-DVA
32-DIS","24-VAR
28-SVA",Accuracy
1,1,9,6,5,8,21,29,26,25,28,67.36
2,1,10,17,11,4,33,30,37,31,24,68.066
3,1,7,3,12,8,34,27,23,32,24,65.26
4,1,9,17,2,4,36,27,26,22,28,65.73
5,13,10,3,11,4,21,29,37,32,28,65.9
6,13,7,6,12,8,33,30,23,22,28,66.53
7,13,10,17,2,8,34,27,37,25,24,68
8,13,7,3,5,4,36,29,23,31,24,67.9
9,14,9,17,12,8,21,30,26,31,24,67.26
10,14,7,6,2,4,33,27,37,32,28,66.06
11,14,10,3,5,4,34,29,26,22,24,66.26
12,14,7,6,11,8,36,30,23,25,24,68
13,16,7,17,2,4,21,27,23,31,28,67.73
14,16,9,3,5,8,33,30,26,32,24,69.03
15,16,9,6,11,8,34,29,37,22,28,65.2
16,16,10,3,12,4,36,29,37,25,28,68.36
17,13,9,3,2,4,21,30,23,22,28,66.7
18,14,10,6,2,4,33,29,23,25,28,68.53
19,13,7,6,2,8,34,30,26,31,28,65.96
20,13,10,17,5,4,36,27,37,32,28,67.73
21,16,10,17,12,4,36,29,37,22,24,67.6
22,1,9,3,11,4,33,27,26,22,28,64.23
,,,,,,,,,,,
Max,69.03,,,,,,,,,,
Min ,64.23,,,,,,,,,,
Range ,4.8,,,,,,,,,,
Average ,66.97,,,,,,,,,,
SD,1.23,,,,,,,,,,
Coeff. Var. ,0.0184,,,,,,,,,,
